Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,,,,,,
Measured,724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,USA,39.742,-105.179,-7,1829,,,,,,,,,,
Year,Month,Day,Hour,Wspd,Tdry,POA,Albedo
2022,1,1,0,1.461221455,-10.312703666666666,2.7456965233333332,0.01
2022,1,1,1,1.5550757,-12.055774388888889,2.7609866775,0.01
2022,1,1,2,0.9163648028333333,-13.131857055555555,2.7897998608333334,0.01
2022,1,1,3,0.793712333,-13.566815222222223,2.793522245,0.01
2022,1,1,4,0.5650919888333333,-14.483585388888889,2.810051253333333,0.01
2022,1,1,5,0.7890725011666666,-14.712795666666667,2.8307776625,0.01
2022,1,1,6,0.8033448655,-14.677909777777778,2.8336551375,0.01
2022,1,1,7,0.8503097231666666,-14.749136611111112,10.893068230722221,0.99
2022,1,1,8,0.5412316898333334,-14.365968888888888,56.227101325,0.99
2022,1,1,9,0.6580620355,-13.864909722222222,80.03743700000001,0.99
2022,1,1,10,0.88412741,-13.080450944444443,138.85341733333334,0.99
2022,1,1,11,0.854773712,-12.201059611111111,183.33366625,0.99
2022,1,1,12,0.820176422,-11.656047222222222,235.21828316666668,0.99
2022,1,1,13,0.5227725448333334,-9.09800483888889,256.69099700000004,0.99
2022,1,1,14,0.6471286104999999,-9.460092416666667,173.5350435833333,0.99
2022,1,1,15,0.42180745766666666,-9.914726494444444,101.82055183333333,0.99
2022,1,1,16,0.967179425,-12.600862205555556,19.625535062125,0.99
2022,1,1,17,1.1367841914999999,-15.435788888888888,2.862376838277778,0.04308250833333333
2022,1,1,18,0.9783284188333333,-16.281661944444444,2.8505246208333332,0.01
2022,1,1,19,1.640865985,-14.971903905555555,2.8775159550000002,0.4602488066666667
2022,1,1,20,3.4566903666666664,-9.616309050000002,2.8232392508333333,0.5463900583333333
2022,1,1,21,5.263594416666667,-8.276019105555555,2.769967338333333,0.28741961166666663
2022,1,1,22,7.145989633333333,-7.459832744444444,2.7527564641666666,0.27293473166666665
2022,1,1,23,7.145389733333333,-6.649034072222222,2.73218691,0.1723551633333333
2022,1,2,0,5.8992078,-5.872901394444444,2.717969198333333,0.07180556
