Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,,,,,,
Measured,724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,USA,39.742,-105.179,-7,1829,,,,,,,,,,
Year,Month,Day,Hour,Wspd,Tdry,POA,Albedo
2021,11,7,19,1.9737821916666667,12.181251277777779,,0.18617211666666664
2021,11,7,20,1.98249436,12.767043000000001,0.07493860607897718,0.23703931379310345
2021,11,7,21,2.2053251900000004,12.025676,,0.14321480666666667
2021,11,7,22,2.1762985133333337,11.083437144444444,0.0018109859999998,0.18621388833333335
2021,11,7,23,2.190756281666667,10.97190565,,0.08595605
2021,11,8,0,1.9836825533333333,10.995482433333333,0.03303752465384605,0.20057147666666666
2021,11,8,1,0.987912845,8.549635188888889,,0.07164700666666665
2021,11,8,2,0.9295924008333334,6.3772104333333335,,0.17197072
2021,11,8,3,1.26837823,4.642850827777778,,0.17199391833333333
2021,11,8,4,1.0955032873333332,3.67378445,,0.7025754116666666
2021,11,8,5,0.9308190466666666,2.385207894444444,,0.24380980666666663
2021,11,8,6,0.8973858349999999,1.071798452111111,9.757689714011628,0.99
2021,11,8,7,0.812543701,3.438866504444445,307.17372416666666,0.99
2021,11,8,8,1.7424854766666666,5.593339,723.5586146666667,0.99
2021,11,8,9,2.131867166666667,5.9910171,708.6071870000001,0.99
2021,11,8,10,2.1786293233333334,6.162518633333334,634.6186593333333,0.99
2021,11,8,11,2.14436407,7.451878672222222,640.9662651666666,0.99
2021,11,8,12,1.9977047666666665,7.723176494444444,571.3026216666667,0.99
2021,11,8,13,1.8984433316666667,7.831352249999999,504.6106676666667,0.99
2021,11,8,14,1.57528619,7.2607578055555555,231.22357616666665,0.99
2021,11,8,15,1.1372066618333332,6.99299355,111.12111818333334,0.99
2021,11,8,16,0.612569421,6.495833622222222,20.3552762375,0.99
2021,11,8,17,0.3681923075,6.1349971666666665,0.15053114337499993,0.21495429
2021,11,8,18,0.6203545821666666,5.5791473,,0.20063772333333332
2021,11,8,19,0.8116051631666666,4.0742380222222225,,0.40138862
2021,11,8,20,0.624502095,3.939668466666667,,0.64522676
2021,11,8,21,1.1279188531666666,3.6368892166666664,,0.588010085
2021,11,8,22,0.7130891109999999,1.999276495,,0.24381041166666664
2021,11,8,23,0.8963206066666667,0.9070207105555556,,0.6167506150000001
2021,11,9,0,0.6222517023333333,0.38890033715555555,,0.8033797049999999
2021,11,9,1,0.8797852316666667,0.18088555609999996,,0.8177576666666667
2021,11,9,2,0.8540725001666666,0.1330190298833333,,0.7460248466666666
2021,11,9,3,0.7893512843333333,-0.09294638457777776,,0.6312605
2021,11,9,4,0.5910422265,-0.6179629398777777,,0.5739781333333334
2021,11,9,5,1.0181188473333334,-0.41019148057777777,,0.8036861999999999
2021,11,9,6,0.6305406815,-1.2596573198888887,9.571857878546512,0.99
2021,11,9,7,0.39477692799999997,3.4924731026111107,291.89479450000005,0.99
2021,11,9,8,0.7303405973333333,7.934808355555555,730.172887,0.99
2021,11,9,9,1.5453674833333333,8.617292344444445,763.8196270000001,0.99
2021,11,9,10,1.6003249833333333,10.152877233333333,631.8541755,0.99
2021,11,9,11,1.7769081433333334,10.640035283333333,538.100935,0.99
2021,11,9,12,1.5329350499999999,10.971049333333333,314.5122315,0.99
2021,11,9,13,0.7007713558333334,11.422972555555555,218.85787616666664,0.99
2021,11,9,14,1.1817475983333334,11.974856777777777,330.9974761666667,0.99
2021,11,9,15,1.3099469033333333,11.691837166666666,212.56649211666667,0.99
2021,11,9,16,0.6238768116666666,9.816379261111111,17.285204774833332,0.99
2021,11,9,17,0.5284426504999999,7.823701799999999,0.24097010555555548,0.01
2021,11,9,18,0.8214077183333333,6.574704888888888,,0.300954915
2021,11,9,19,0.7905927626666666,6.786634183333334,,0.300958575
2021,11,9,20,0.6002208783333333,5.919416105555555,,0.11465043666666667
