Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,,,,,,
Measured,724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,USA,39.742,-105.179,-7,1829,,,,,,,,,,
Year,Month,Day,Hour,Wspd,Tdry,POA,Albedo
2021,6,1,0,0.8299667851666667,7.004508433333333,1.2297356402166666,0.8598869733333333
2021,6,1,1,1.4320497533333334,6.888138533333334,1.2353612789500001,0.8598799116666667
2021,6,1,2,1.4143499183333332,6.628052733333333,1.2429349767833333,0.859874495
2021,6,1,3,1.1651947306666666,6.477649261111111,1.2264846200666666,0.8598760649999999
2021,6,1,4,0.7549566333333334,6.292297555555555,6.081289041618183,1.3185908516666667
2021,6,1,5,0.8213052563333334,9.533252000000001,239.97562163333333,23.444816983333332
2021,6,1,6,0.41830661199999997,14.18653661111111,793.0781298333333,68.32327433333333
2021,6,1,7,1.1557003066666667,15.156197666666666,1032.6846395,107.40883950000001
2021,6,1,8,2.7976120566666665,14.877444,913.5372825000001,120.60336133333334
2021,6,1,9,1.7215851733333334,15.633142833333332,583.9337126666667,91.24807
2021,6,1,10,1.3830055333333333,16.833967722222223,710.1985354999999,104.95015716666667
2021,6,1,11,2.045125805,18.42562472222222,1066.6912378333334,153.570518
2021,6,1,12,2.1870455833333335,18.674054666666667,718.560083,106.20716116666668
2021,6,1,13,3.9983869,13.958573777777778,152.10282173333331,24.563708866666666
2021,6,1,14,2.2730516350000003,16.703394944444444,355.5283591666667,58.62789238333333
2021,6,1,15,2.6948545050000003,15.060685888888889,88.72369345,16.12606855
2021,6,1,16,3.0510326500000002,14.940548333333334,393.833636,48.193207550000004
2021,6,1,17,2.177899951666667,16.2336095,269.46830566666665,38.0132305
2021,6,1,18,2.061521845,15.659003777777777,75.95562358333333,12.861825416666667
2021,6,1,19,0.8654026331666667,13.76463622222222,5.5729624524870065,0.6868972583333334
2021,6,1,20,1.6295341133333332,12.6804425,1.19990474813,0.6299947216666666
2021,6,1,21,1.9926775533333334,12.382079222222222,1.2089775614237288,0.5155434316666666
2021,6,1,22,2.0256379166666667,12.008548222222222,1.2080208925114941,0.4439610833333333
2021,6,1,23,2.818799266666667,12.2321545,1.2020610218166667,0.28642873333333335
2021,6,2,0,2.1027337833333335,11.623606944444445,1.2149372914,0.3150730266666667
2021,6,2,1,2.28202675,11.313414277777778,1.2048682151666665,0.329395325
2021,6,2,2,2.21283468,11.433233166666668,1.2003128262833334,0.25779204
2021,6,2,3,2.1430950199999996,10.93878961111111,1.2077164251366665,0.515610505
2021,6,2,4,2.4142238333333332,11.216566,7.793756962614882,1.47527495
2021,6,2,5,1.83363455,11.795529222222223,79.98929030000001,11.256706133333333
2021,6,2,6,1.7611457316666665,14.192521611111111,449.58203066666664,44.829479500000005
2021,6,2,7,1.0418821871666666,18.210180333333334,921.0175423333333,96.93690433333333
2021,6,2,8,1.70862431,18.979397666666667,1135.3405496666667,131.87437683333334
2021,6,2,9,2.329887175,20.06317072222222,1196.4443971666667,159.23637
2021,6,2,10,2.115463805,21.262130444444445,1083.2244663333333,153.067979
2021,6,2,11,2.0259804316666665,21.626814777777778,1090.6635595,161.38301366666667
2021,6,2,12,2.6485917349999997,22.07201461111111,1107.1047946666667,159.7331685
2021,6,2,13,2.6176669633333334,22.20886361111111,1163.7943255,163.73517166666667
2021,6,2,14,2.4183678416666665,22.593330833333333,1083.8663036666667,139.81905416666666
2021,6,2,15,2.221792231666667,22.43850122222222,917.6489318333334,113.2254565
2021,6,2,16,1.8339797866666667,22.76761561111111,982.0819095,102.93784550000001
2021,6,2,17,1.387134145,22.392857944444447,437.171584,59.335095
2021,6,2,18,0.7462341815,21.38404116666667,50.21694365,8.786724
2021,6,2,19,0.9030000253333333,18.583119,5.575034788070175,0.6146853983333334
2021,6,2,20,1.0439328688333334,16.16089888888889,1.2106694653333334,0.18603227833333333
2021,6,2,21,0.9434806483333333,14.423676888888888,1.2008205768,0.42946798499999994
2021,6,2,22,1.14513179,13.4357665,1.20317876375,0.45820314999999995
2021,6,2,23,1.4194041966666666,13.313522722222222,1.1966419333166667,0.673010435
2021,6,3,0,1.4276173233333334,12.773908777777779,1.1937470243666666,0.257747715
2021,6,3,1,1.2497521116666666,12.616734722222223,1.204444222259887,0.8019904566666667
2021,6,3,2,1.1490853166666668,11.911284444444444,1.2054797486833333,0.5585308916666667
2021,6,3,3,1.2879853133333332,11.484031,1.1981955976666667,0.5585341533333333
2021,6,3,4,1.2403231916666668,11.783545111111112,5.9391932060345916,1.2459688883333333
2021,6,3,5,1.0913875216666669,13.962381444444445,227.6387509,24.273588183333334
2021,6,3,6,1.3844006433333333,17.993191055555556,746.5186455,68.37853616666666
2021,6,3,7,1.1738893616666666,20.724655277777778,975.5148503333332,105.20258033333333
2021,6,3,8,1.3041819816666667,21.97684027777778,1096.6861618333335,132.95305166666668
2021,6,3,9,1.4825106633333334,23.455091666666664,1105.1642996666667,146.28535666666667
2021,6,3,10,2.0811160566666667,24.256493444444445,1123.0888758333335,159.04548333333332
2021,6,3,11,2.514183205,24.89676327777778,1119.758734,164.288455
2021,6,3,12,2.228384865,25.625695277777776,1119.8055961666666,163.58455666666666
2021,6,3,13,2.2873831566666665,25.945442555555555,1114.352758,156.33896000000001
2021,6,3,14,1.9668476499999998,26.46134055555556,1102.1373801666666,144.04182666666665
2021,6,3,15,1.87940511,26.663321777777774,1062.7322101666666,124.81516
2021,6,3,16,1.7862966533333333,26.406394388888888,965.858205,97.87268183333335
2021,6,3,17,1.4373670133333332,25.959398833333335,434.3736118333333,58.0121245
2021,6,3,18,0.6975520146666666,24.844534388888892,47.926632350000006,8.4551175
2021,6,3,19,0.8154363613333333,21.724736944444444,5.985614400947369,0.58591994
2021,6,3,20,0.8448488421666667,18.655857444444443,1.2042197483666668,0.0
2021,6,3,21,1.3620152766666667,17.082101555555553,1.2126095781666666,0.08586565666666666
2021,6,3,22,1.525672165,16.636529222222222,1.1999634415,0.20039995833333332
2021,6,3,23,2.0036907833333335,17.056176555555556,1.198985459366667,0.18610000333333332
2021,6,4,0,1.1550895866666666,16.877480388888888,1.1930742479499998,0.157468235
2021,6,4,1,0.9959337991666666,16.298026555555555,1.19240654595,0.5439974633333333
2021,6,4,2,1.38705043,15.111730555555557,1.1930164500499998,0.343623755
2021,6,4,3,2.5238572749999997,16.608296888888887,1.2051822813666666,0.3149870366666666
2021,6,4,4,2.4852799,16.9286705,6.339200773534545,0.9448234466666666
2021,6,4,5,2.0583658783333334,18.159644500000002,235.41131668333333,24.146479466666666
2021,6,4,6,0.6889512926666667,22.063180388888888,789.6197845,73.73982466666666
2021,6,4,7,0.933841068,23.695036333333334,1016.8769713333334,113.12444116666667
2021,6,4,8,1.0451763566666665,24.43699966666667,1108.5724391666668,137.89449000000002
2021,6,4,9,1.3946592433333334,25.625804666666667,1141.0064746666667,154.58815166666668
2021,6,4,10,1.6573961799999999,26.850629555555553,1151.4052825,165.51925666666665
2021,6,4,11,2.0813623116666666,27.583997277777776,1141.74574,169.25700833333335
2021,6,4,12,1.9465467766666669,28.748164888888887,1130.90054,166.96731666666668
2021,6,4,13,2.1715434733333336,29.1016665,1131.7331,160.559775
2021,6,4,14,2.0929144633333334,29.45156522222222,1137.424917,151.21948
2021,6,4,15,1.895837285,29.520538,1096.0399266666666,130.3143
2021,6,4,16,1.8282869666666668,29.082871888888892,1004.0909225,102.00704383333333
2021,6,4,17,1.2016048350000001,28.810341666666666,456.82298599999996,61.08767666666667
2021,6,4,18,1.3638444066666666,26.945375777777777,43.45536886666667,8.894919583333332
2021,6,4,19,1.0354774216666667,22.997462055555555,5.484596191169492,0.5000933866666667
2021,6,4,20,0.9555408816666666,19.683855,1.1919555746666666,0.0
2021,6,4,21,1.7818780349999999,18.975405944444443,1.2104621851666668,0.3291355283333333
2021,6,4,22,2.069140965,19.063566055555555,1.2079864504999998,0.11447933499999999
2021,6,4,23,2.2778307,19.038327,1.2128814198333333,0.200359705
2021,6,5,0,1.3973009266666667,18.66723022222222,1.2069245357166665,0.32919383166666666
2021,6,5,1,1.3987302833333333,18.683316055555554,1.1997075442333331,0.2147182383333333
2021,6,5,2,2.0294587383333336,19.36485438888889,1.2029093108999998,0.25767249
2021,6,5,3,2.1247722683333334,19.33470711111111,1.2003320676833333,0.18606193166666665
2021,6,5,4,3.56692175,20.688246611111108,11.52256904579661,2.28966759
2021,6,5,5,3.52689525,21.86095338888889,230.47272555,27.07253893333333
2021,6,5,6,2.21610489,23.89430638888889,727.7431531666666,72.00057050000001
2021,6,5,7,1.6168240283333333,25.87088333333333,1010.3546181666667,115.30932433333334
2021,6,5,8,1.4252267733333333,26.45159711111111,1098.1683926666667,138.54090499999998
2021,6,5,9,1.3395137499999998,29.395941277777776,1130.1459716666666,152.302435
2021,6,5,10,1.7851597783333333,29.840163944444445,1131.9334826666666,162.800925
2021,6,5,11,2.4195126766666664,30.769091,1137.8401016666667,168.88614166666667
2021,6,5,12,2.353767271666667,31.616947666666665,1150.2760916666666,169.28582333333333
2021,6,5,13,2.2974729016666666,31.661538333333333,1155.6340116666668,162.69912000000002
2021,6,5,14,2.058351175,31.77223561111111,1162.8852399999998,152.16630666666666
2021,6,5,15,2.035413375,30.21340361111111,414.913303,50.783363333333334
2021,6,5,16,5.454945883333333,26.964295555555555,190.18721766666664,35.24869916666667
2021,6,5,17,5.403160633333333,26.184986055555555,180.82626849999997,34.98064633333333
2021,6,5,18,3.816137945,25.702190944444446,106.05691665,19.1134775
2021,6,5,19,1.8380821283333333,23.64324172222222,4.506189693983051,0.9865820233333333
2021,6,5,20,4.0133112833333335,19.386952166666667,1.2008592511166665,2.145863226666667
2021,6,5,21,3.872168266666667,21.106572333333336,1.2086566968333334,0.7584515599999999
2021,6,5,22,2.966808448333333,20.950876722222223,1.1983603286666666,0.0
2021,6,5,23,4.0151963649999995,21.659534055555557,1.1950083335000001,0.0
2021,6,6,0,5.410100166666667,22.307039555555555,1.1918921098333333,0.0
2021,6,6,1,4.3154016,22.4289,1.1865718379666665,0.0
2021,6,6,2,2.8688184666666667,22.215313,1.1868868475,0.0
2021,6,6,3,2.1013567166666665,21.158502722222224,1.1932484871666669,0.05723690833333332
2021,6,6,4,2.8823607333333334,21.46339111111111,5.239651299316667,0.9158820016666667
2021,6,6,5,2.9616045333333334,21.558622,97.40433615000002,11.6621738
2021,6,6,6,3.7557961,23.802937222222223,708.1512801666667,71.64202233333334
2021,6,6,7,2.5813030833333332,25.363511444444445,711.1457720000001,80.66527866666667
2021,6,6,8,1.1081404965,26.674674166666666,434.44977866666665,63.49522916666667
2021,6,6,9,3.744525416666667,25.203336111111113,179.24252833333335,30.360540833333335
2021,6,6,10,3.892556833333333,25.610716777777778,266.16406233333333,46.04759616666667
