Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,,,,,,
Measured,724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,USA,39.742,-105.179,-7,1829,,,,,,,,,,
Year,Month,Day,Hour,Wspd,Tdry,POA,Albedo
2022,1,1,0,1.461221455,-10.312703666666666,0.37226042989432623,0.01
2022,1,1,1,1.5550757,-12.055774388888889,0.41796897438596486,0.01
2022,1,1,2,0.9163648028333333,-13.131857055555555,0.5164418381641026,0.01
2022,1,1,3,0.793712333,-13.566815222222223,0.6752216444931034,0.01
2022,1,1,4,0.5650919888333333,-14.483585388888889,0.969721462637037,0.01
2022,1,1,5,0.7890725011666666,-14.712795666666667,0.8563804173452381,0.01
2022,1,1,6,0.8033448655,-14.677909777777778,1.0377043241666668,0.01
2022,1,1,7,0.8503097231666666,-14.749136611111112,8.428236525076922,0.99
2022,1,1,8,0.5412316898333334,-14.365968888888888,48.28307745,0.99
2022,1,1,9,0.6580620355,-13.864909722222222,74.38872588333334,0.99
2022,1,1,10,0.88412741,-13.080450944444443,127.20341416666666,0.99
2022,1,1,11,0.854773712,-12.201059611111111,160.12292383333335,0.99
2022,1,1,12,0.820176422,-11.656047222222222,210.03278316666666,0.99
2022,1,1,13,0.5227725448333334,-9.09800483888889,284.95632,0.99
2022,1,1,14,0.6471286104999999,-9.460092416666667,222.716468,0.99
2022,1,1,15,0.42180745766666666,-9.914726494444444,145.63896616666665,0.99
2022,1,1,16,0.967179425,-12.600862205555556,20.544074566216665,0.99
2022,1,1,17,1.1367841914999999,-15.435788888888888,0.548163126,0.04308250833333333
2022,1,1,18,0.9783284188333333,-16.281661944444444,1.1146291908333334,0.01
2022,1,1,19,1.640865985,-14.971903905555555,1.6292910016666666,0.4602488066666667
2022,1,1,20,3.4566903666666664,-9.616309050000002,1.2012150001666666,0.5463900583333333
2022,1,1,21,5.263594416666667,-8.276019105555555,0.7218709846666665,0.28741961166666663
2022,1,1,22,7.145989633333333,-7.459832744444444,0.6179709133333333,0.27293473166666665
2022,1,1,23,7.145389733333333,-6.649034072222222,0.49328006249999995,0.1723551633333333
2022,1,2,0,5.8992078,-5.872901394444444,0.47167536916666664,0.07180556
2022,1,2,1,5.4979881666666675,-4.665917377777777,0.4031105266666666,0.10051779166666666
2022,1,2,2,5.9287134,-2.6640712166666662,0.4039200756666666,0.043073136666666664
2022,1,2,3,5.5358058833333335,-2.4991736333333336,0.36183413,0.10047752666666666
2022,1,2,4,7.5711775,-1.9584811333333334,0.31452441749999993,0.01
2022,1,2,5,7.692035683333333,-2.1610378111111115,0.2813830555,0.01435150833333333
2022,1,2,6,7.794426816666666,-1.6842410944444446,0.27583323149999994,0.04305459
2022,1,2,7,5.890915383333334,-1.1723822416666667,35.64057606116667,0.99
2022,1,2,8,4.349284183333333,0.5616624601166667,444.47296983333337,0.99
2022,1,2,9,3.2781613666666667,2.7284127666666667,747.6073018333333,0.99
2022,1,2,10,2.6771381666666665,5.413470011111111,748.9420583333333,0.99
2022,1,2,11,2.329417696666667,7.380373616666666,736.1106533333334,0.99
2022,1,2,12,1.8542239733333332,6.706144461111111,723.8356833333333,0.99
2022,1,2,13,1.328108157,8.306428511111111,705.7764991666667,0.99
2022,1,2,14,0.9999751733333333,9.589109855555556,707.3436218333334,0.99
2022,1,2,15,0.6604330866666666,9.066910738888888,511.87039116666665,0.99
2022,1,2,16,0.695553232,5.1933284888888895,55.639128558833335,0.99
2022,1,2,17,1.71005408,1.911563538428889,0.2464275897735632,0.22929340999999998
2022,1,2,18,1.2427638183333334,-0.7287546018055555,0.22370629151666663,0.071710215
2022,1,2,19,1.2027129808333332,-1.8612537355555554,0.26001477317857136,0.28699170999999996
2022,1,2,20,1.3169011083333333,-1.8846739282222222,0.30554585860169486,0.31573307333333334
2022,1,2,21,1.1853174233333335,-0.9969552065888888,0.32511841649999995,0.3587875833333333
2022,1,2,22,1.160255277,-2.012736105833333,0.29483288233333327,0.22962523666666668
2022,1,2,23,1.541021925,-1.176440051111111,0.28608303504237287,0.3157406683333333
2022,1,3,0,1.2967818356666667,-1.2019062452222222,0.278110099930303,0.24397564166666663
2022,1,3,1,1.0487973933333332,-2.9883273277777778,0.24806120915517238,0.11878401896551723
2022,1,3,2,1.3124017221666666,-3.9785338033333333,0.3335877462738095,0.301432245
2022,1,3,3,1.4797985583333333,-3.6143484933333334,0.37831946305128195,0.43065761833333327
