Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,,,,,,,,,,
Measured,724666,DENVER/CENTENNIAL [GOLDEN - NREL],CO,USA,39.742,-105.179,-7,1829,,,,,,,,,,
Year,Month,Day,Hour,Wspd,Tdry,POA,Albedo
2021,6,1,0,0.8299667851666667,7.004508433333333,1.4989728,0.8598869733333333
2021,6,1,1,1.4320497533333334,6.888138533333334,1.5001359833333334,0.8598799116666667
2021,6,1,2,1.4143499183333332,6.628052733333333,1.5051008000000001,0.859874495
2021,6,1,3,1.1651947306666666,6.477649261111111,1.5085303,0.8598760649999999
2021,6,1,4,0.7549566333333334,6.292297555555555,5.774748683333333,1.3185908516666667
2021,6,1,5,0.8213052563333334,9.533252000000001,246.51186700000002,23.444816983333332
2021,6,1,6,0.41830661199999997,14.18653661111111,753.2721316666666,68.32327433333333
2021,6,1,7,1.1557003066666667,15.156197666666666,951.0886366666667,107.40883950000001
2021,6,1,8,2.7976120566666665,14.877444,801.7810266666667,120.60336133333334
2021,6,1,9,1.7215851733333334,15.633142833333332,500.4560016666667,91.24807
2021,6,1,10,1.3830055333333333,16.833967722222223,621.010335,104.95015716666667
2021,6,1,11,2.045125805,18.42562472222222,935.0900683333333,153.570518
2021,6,1,12,2.1870455833333335,18.674054666666667,628.0256716666667,106.20716116666668
2021,6,1,13,3.9983869,13.958573777777778,136.32498266666667,24.563708866666666
2021,6,1,14,2.2730516350000003,16.703394944444444,310.0513158333333,58.62789238333333
2021,6,1,15,2.6948545050000003,15.060685888888889,72.45367416666666,16.12606855
2021,6,1,16,3.0510326500000002,14.940548333333334,347.6101346666667,48.193207550000004
2021,6,1,17,2.177899951666667,16.2336095,299.2021088333333,38.0132305
2021,6,1,18,2.061521845,15.659003777777777,67.47853383333333,12.861825416666667
2021,6,1,19,0.8654026331666667,13.76463622222222,5.560659683333333,0.6868972583333334
2021,6,1,20,1.6295341133333332,12.6804425,1.4244350833333332,0.6299947216666666
2021,6,1,21,1.9926775533333334,12.382079222222222,1.4284904666666667,0.5155434316666666
2021,6,1,22,2.0256379166666667,12.008548222222222,1.4304902666666666,0.4439610833333333
2021,6,1,23,2.818799266666667,12.2321545,1.4246006666666666,0.28642873333333335
2021,6,2,0,2.1027337833333335,11.623606944444445,1.4354898,0.3150730266666667
2021,6,2,1,2.28202675,11.313414277777778,1.4404370166666667,0.329395325
2021,6,2,2,2.21283468,11.433233166666668,1.4385782999999999,0.25779204
2021,6,2,3,2.1430950199999996,10.93878961111111,1.4524002,0.515610505
2021,6,2,4,2.4142238333333332,11.216566,7.141038750000001,1.47527495
2021,6,2,5,1.83363455,11.795529222222223,74.7089795,11.256706133333333
2021,6,2,6,1.7611457316666665,14.192521611111111,424.1920666666667,44.829479500000005
2021,6,2,7,1.0418821871666666,18.210180333333334,847.467385,96.93690433333333
2021,6,2,8,1.70862431,18.979397666666667,1029.436445,131.87437683333334
2021,6,2,9,2.329887175,20.06317072222222,1059.6125983333334,159.23637
2021,6,2,10,2.115463805,21.262130444444445,950.3259116666667,153.067979
2021,6,2,11,2.0259804316666665,21.626814777777778,959.6137233333334,161.38301366666667
2021,6,2,12,2.6485917349999997,22.07201461111111,970.3335583333334,159.7331685
2021,6,2,13,2.6176669633333334,22.20886361111111,1025.5397216666668,163.73517166666667
2021,6,2,14,2.4183678416666665,22.593330833333333,962.554095,139.81905416666666
2021,6,2,15,2.221792231666667,22.43850122222222,815.4675683333334,113.2254565
2021,6,2,16,1.8339797866666667,22.76761561111111,870.6846966666667,102.93784550000001
2021,6,2,17,1.387134145,22.392857944444447,538.4607128333333,59.335095
2021,6,2,18,0.7462341815,21.38404116666667,46.398436999999994,8.786724
2021,6,2,19,0.9030000253333333,18.583119,5.57569415,0.6146853983333334
2021,6,2,20,1.0439328688333334,16.16089888888889,1.3741996333333333,0.18603227833333333
2021,6,2,21,0.9434806483333333,14.423676888888888,1.3962313166666667,0.42946798499999994
2021,6,2,22,1.14513179,13.4357665,1.4147985666666665,0.45820314999999995
2021,6,2,23,1.4194041966666666,13.313522722222222,1.42188225,0.673010435
2021,6,3,0,1.4276173233333334,12.773908777777779,1.4179747833333332,0.257747715
2021,6,3,1,1.2497521116666666,12.616734722222223,1.4308099333333333,0.8019904566666667
2021,6,3,2,1.1490853166666668,11.911284444444444,1.4399741333333334,0.5585308916666667
2021,6,3,3,1.2879853133333332,11.484031,1.44436235,0.5585341533333333
2021,6,3,4,1.2403231916666668,11.783545111111112,5.5773305833333335,1.2459688883333333
2021,6,3,5,1.0913875216666669,13.962381444444445,234.39351399999998,24.273588183333334
2021,6,3,6,1.3844006433333333,17.993191055555556,706.2521949999999,68.37853616666666
2021,6,3,7,1.1738893616666666,20.724655277777778,900.9052966666666,105.20258033333333
2021,6,3,8,1.3041819816666667,21.97684027777778,994.0829066666666,132.95305166666668
2021,6,3,9,1.4825106633333334,23.455091666666664,988.9187566666666,146.28535666666667
2021,6,3,10,2.0811160566666667,24.256493444444445,997.4730916666667,159.04548333333332
2021,6,3,11,2.514183205,24.89676327777778,988.8767683333333,164.288455
2021,6,3,12,2.228384865,25.625695277777776,988.5512766666667,163.58455666666666
2021,6,3,13,2.2873831566666665,25.945442555555555,987.83482,156.33896000000001
2021,6,3,14,1.9668476499999998,26.46134055555556,981.9366033333333,144.04182666666665
2021,6,3,15,1.87940511,26.663321777777774,950.2625683333333,124.81516
2021,6,3,16,1.7862966533333333,26.406394388888888,864.9159149999999,97.87268183333335
2021,6,3,17,1.4373670133333332,25.959398833333335,541.7831518333334,58.0121245
2021,6,3,18,0.6975520146666666,24.844534388888892,44.189206666666664,8.4551175
2021,6,3,19,0.8154363613333333,21.724736944444444,5.90521785,0.58591994
2021,6,3,20,0.8448488421666667,18.655857444444443,1.34065375,0.0
2021,6,3,21,1.3620152766666667,17.082101555555553,1.3668971833333332,0.08586565666666666
2021,6,3,22,1.525672165,16.636529222222222,1.3781941000000002,0.20039995833333332
2021,6,3,23,2.0036907833333335,17.056176555555556,1.3723155166666667,0.18610000333333332
2021,6,4,0,1.1550895866666666,16.877480388888888,1.3692679833333334,0.157468235
2021,6,4,1,0.9959337991666666,16.298026555555555,1.3808307666666666,0.5439974633333333
2021,6,4,2,1.38705043,15.111730555555557,1.3957271,0.343623755
2021,6,4,3,2.5238572749999997,16.608296888888887,1.3773552833333333,0.3149870366666666
2021,6,4,4,2.4852799,16.9286705,5.940790266666666,0.9448234466666666
2021,6,4,5,2.0583658783333334,18.159644500000002,242.612908,24.146479466666666
2021,6,4,6,0.6889512926666667,22.063180388888888,748.9314766666666,73.73982466666666
2021,6,4,7,0.933841068,23.695036333333334,941.2929600000001,113.12444116666667
2021,6,4,8,1.0451763566666665,24.43699966666667,1005.3221966666666,137.89449000000002
2021,6,4,9,1.3946592433333334,25.625804666666667,1020.2227735849057,154.58815166666668
2021,6,4,10,1.6573961799999999,26.850629555555553,1016.5126666666667,165.51925666666665
2021,6,4,11,2.0813623116666666,27.583997277777776,1004.5294316666666,169.25700833333335
2021,6,4,12,1.9465467766666669,28.748164888888887,995.4362133333333,166.96731666666668
2021,6,4,13,2.1715434733333336,29.1016665,999.1628683333333,160.559775
2021,6,4,14,2.0929144633333334,29.45156522222222,1010.6985666666666,151.21948
2021,6,4,15,1.895837285,29.520538,977.7296916666667,130.3143
