724666, DENVER/CENTENNIAL [GOLDEN - NREL], CO, -7, 39.742,-105.179, 1829
Date (MM/DD/YYYY),Time (HH:MM),Wspd (m/s),Dry-bulb (C),DHI (W/m^2),DNI (W/m^2),GHI (W/m^2),Alb (unitless)
01/01/1987,01:00,1.418823875,6.885297983333333,0.0,0.0020936333333333333,0.0,0.8598798033333334
01/01/1987,02:00,1.4400339133333333,6.623034005555556,0.0,0.01997703333333333,0.0,0.85987441
01/01/1987,03:00,1.1511961473333334,6.468272077777778,0.0,0.015266316666666667,0.0,0.8598761366666666
01/01/1987,04:00,0.7571154666666666,6.301008261111111,5.503094433333333,87.70333733333334,8.881615466666666,1.3472611833333334
01/01/1987,05:00,0.803444893,9.621614866666667,31.19358,581.14895,123.55759666666667,24.204065216666667
01/01/1987,06:00,0.43005476699999995,14.237450166666667,48.08596166666667,799.6263333333334,315.86373333333336,69.00883716666667
01/01/1987,07:00,1.1828547983333333,15.146136444444444,77.69178833333334,886.5354166666667,533.1407166666667,108.25135350000001
01/01/1987,08:00,2.79501099,14.88197188888889,340.9809666666667,411.48493666666667,613.2549833333334,120.04605133333332
01/01/1987,09:00,1.6966736316666666,15.658460111111111,408.34136666666666,95.373823,487.83405000000005,90.53328416666666
01/01/1987,10:00,1.4010590583333333,16.860985833333334,332.67339999999996,316.91242450000004,629.5041333333334,106.60900633333334
01/01/1987,11:00,2.042501255,18.43223933333333,248.68308333333334,719.6307899999999,933.7113499999999,152.09755733333336
01/01/1987,12:00,2.2167564,18.6592515,274.086885,351.7068514333333,613.3629199999999,105.27760616666666
01/01/1987,13:00,3.9655950333333334,13.92007422222222,137.36444833333334,2.2616913666666667,139.92327166666666,25.479793866666668
01/01/1987,14:00,2.283884235,16.734303,298.2641683333333,19.468847083333333,313.531865,57.51169913333333
01/01/1987,15:00,2.7165146216666667,15.011091833333333,89.82383833333333,0.5856169333333334,88.87820166666667,16.3264508
01/01/1987,16:00,3.0486706833333335,14.97242661111111,166.318085,172.34127553333335,254.21740166666666,48.293371050000005
01/01/1987,17:00,2.157242801666667,16.234791277777777,134.18580833333334,193.26208200000002,199.64469333333332,37.8700335
01/01/1987,18:00,2.034550118333333,15.645049222222221,62.947705,151.31774015000002,83.757345,12.647261433333334
01/01/1987,19:00,0.8712180598333333,13.718471333333333,4.2602829,0.44673768333333336,3.635982116666667,0.6439723783333334
01/01/1987,20:00,1.6239576999999998,12.683585611111111,0.0,0.00977035,0.0,0.6156787516666667
01/01/1987,21:00,2.0160866833333335,12.379228166666667,0.0,0.0021809,0.0,0.5155434316666666
01/01/1987,22:00,2.044805916666667,12.010311388888889,0.0,0.0,0.0,0.45828246
01/01/1987,23:00,2.79583335,12.222428722222222,0.0,0.0,0.0,0.2721073566666667
01/01/1987,24:00,2.13179365,11.618327444444445,0.0,8.723333333333333e-05,0.0,0.32939448833333335
01/02/1987,01:00,2.27698285,11.316812444444444,0.0,0.005932033333333334,0.0,0.3293957283333333
01/02/1987,02:00,2.1927496133333335,11.416566444444443,0.0,0.01352165,0.0,0.25779208666666664
01/02/1987,03:00,2.1466004366666667,10.945298277777777,0.0,0.0004361666666666666,0.0,0.5012885933333333
01/02/1987,04:00,2.42394515,11.222846944444445,7.123601366666667,44.847859166666666,8.200681300000001,1.5468865666666667
01/02/1987,05:00,1.8163990666666665,11.817662277777778,57.45385833333333,20.657950383333333,60.918545,11.614736183333333
01/02/1987,06:00,1.757919915,14.238963166666668,110.04384166666667,291.56950333333333,212.14428333333333,45.61652133333334
01/02/1987,07:00,1.0373041871666666,18.248050888888887,123.65987833333334,680.7587166666667,477.54378333333335,97.7935525
01/02/1987,08:00,1.7171921433333333,19.0056325,98.18324666666668,894.19695,704.75165,131.61614516666666
01/02/1987,09:00,2.345063725,20.084853833333334,193.38735166666666,888.8156666666667,915.13185,160.09423166666664
01/02/1987,10:00,2.0937085383333334,21.25706127777778,267.77026666666666,681.94495,888.53855,152.88210566666666
01/02/1987,11:00,2.023861415,21.653936666666667,190.5964666666667,898.4848000000001,1051.4497166666667,161.912417
01/02/1987,12:00,2.6701268683333335,22.072141,231.47078333333332,786.6291211666667,982.1632833333333,159.93328516666668
01/02/1987,13:00,2.612768146666667,22.21295761111111,143.19791500000002,933.9359166666667,980.1519833333333,163.034555
01/02/1987,14:00,2.4284208583333333,22.597506777777777,129.33368000000002,867.5011,828.3724,139.88978749999998
01/02/1987,15:00,2.18882446,22.43650138888889,240.9258166666667,504.24191333333334,586.5006833333333,112.73945483333334
01/02/1987,16:00,1.8371069583333333,22.76827527777778,119.50250166666666,753.6186,496.68335,102.18015783333334
01/02/1987,17:00,1.3843563283333333,22.388462166666667,79.59327166666667,652.6739666666667,292.84145,58.36351516666666
01/02/1987,18:00,0.7459008665,21.340959777777776,38.43930666666667,379.7695751666667,99.51458833333332,8.443851
01/02/1987,19:00,0.913832207,18.534018944444444,4.2974724166666665,1.0693361833333335,3.4990948333333334,0.5861025649999999
01/02/1987,20:00,1.0243823104999998,16.135411666666666,0.0,0.13983976666666667,0.0,0.18603227833333333
01/02/1987,21:00,0.9583825733333333,14.3985655,0.0,0.07563403333333334,0.0,0.42946798499999994
01/02/1987,22:00,1.1361392983333334,13.429674833333333,0.0,0.035767,0.0,0.47252273666666667
01/02/1987,23:00,1.4292820716666665,13.313507166666666,0.0,0.004187316666666666,0.0,0.6586908483333332
01/02/1987,24:00,1.4261180233333335,12.764019888888889,0.0,0.0004361666666666666,0.0,0.257747715
